Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
73,LPD43,434.125,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
74,LPD44,434.15,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
75,LPD45,434.175,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
76,LPD46,434.2,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
77,LPD47,434.225,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
78,LPD48,434.25,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
79,LPD49,434.275,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
80,LPD50,434.3,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
81,LPD51,434.325,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
82,LPD52,434.35,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
83,LPD53,434.375,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
84,LPD54,434.4,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
85,LPD55,434.425,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
86,LPD56,434.45,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
87,LPD57,434.475,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
88,LPD58,434.5,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
89,LPD59,434.525,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
90,LPD60,434.55,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
91,RTVS01,462.125,,0,TSQL,69.3,69.3,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
92,RTVS02,462.225,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
93,RTVS03,462.325,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
94,RTVS04,462.425,,0,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
95,RTVS05,462.525,,0,TSQL,114.8,114.8,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
96,RTVS06,462.625,,0,TSQL,127.3,127.3,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
97,RTVS07,462.725,,0,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
98,RTVS08,462.825,,0,TSQL,162.2,162.2,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
99,RTVS09,462.925,,0,DTCS,88.5,88.5,025,NN,025,DTCS->DTCS,FM,5.0,,4.0W,,,,,
100,RTVS10,463.025,,0,DTCS,88.5,88.5,051,NN,051,DTCS->DTCS,FM,5.0,,4.0W,,,,,
101,RTVS11,463.125,,0,DTCS,88.5,88.5,125,NN,125,DTCS->DTCS,FM,5.0,,4.0W,,,,,
102,RTVS12,463.225,,0,DTCS,88.5,88.5,155,RR,155,DTCS->DTCS,FM,5.0,,4.0W,,,,,
103,RTVS13,463.525,,0,DTCS,88.5,88.5,465,RR,465,DTCS->DTCS,FM,5.0,,4.0W,,,,,
104,RTVS14,450.225,,0,DTCS,88.5,88.5,023,NN,023,DTCS->DTCS,FM,5.0,,4.0W,,,,,
105,RTVS15,460.325,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
106,RTVS16,469.95,,0,TSQL,203.5,203.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
